Sample,SiO2,Al2O3,TiO2,Fe2O3,MgO,CaO,Na2O,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,Tectonic setting
BY-12,38.59,0.43,0.01,7.9,35.9,1.23,0.06,0.02,0.07,0.0,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,SSZ
MHZ-10,41.45,1.36,0.03,8.46,38.54,1.15,0.09,0.12,0.22,0.03,0.17,0.09,0.05,0.17,0.04,0.31,0.08,0.21,0.25,0.04,MOR
MHZ-11,42.52,2.12,0.1,8.32,40.16,2.77,0.08,0.12,0.22,0.03,0.17,0.09,0.05,0.17,0.04,0.31,0.08,0.21,0.25,0.04,MOR
MHZ-12,43.29,3.29,0.06,8.12,37.89,1.27,0.09,0.23,0.55,0.06,0.25,0.12,0.05,0.21,0.05,0.33,0.08,0.24,0.28,0.04,MOR
MHZ-13,40.31,1.51,0.08,7.95,38.34,1.28,0.11,0.16,0.3,0.04,0.15,0.05,0.01,0.06,0.02,0.13,0.03,0.11,0.14,0.03,MOR
MHZ-14,41.31,0.87,0.02,7.51,39.05,1.89,0.07,0.14,0.27,0.04,0.13,0.05,0.02,0.08,0.02,0.13,0.04,0.11,0.14,0.03,MOR
NHA-23,39.89,0.96,0.02,10.46,39.21,0.59,0.05,0.22,0.49,0.06,0.23,0.06,0.02,0.07,0.01,0.08,0.02,0.06,0.1,0.02,SSZ
NHA-24,40.89,1.69,0.04,7.92,38.23,0.64,0.08,0.52,1.04,0.1,0.37,0.07,0.02,0.08,0.02,0.1,0.02,0.07,0.11,0.02,SSZ
AI-16R,40.47,0.85,0.02,8.78,39.21,1.22,0.06,0.5,1.06,0.13,0.44,0.09,0.03,0.09,0.02,0.1,0.03,0.08,0.12,0.02,SSZ
AI-16R1,39.23,0.83,0.03,8.69,39.45,1.49,0.09,0.52,1.1,0.13,0.45,0.1,0.03,0.11,0.02,0.14,0.03,0.1,0.12,0.02,SSZ
THA-17,43.89,0.37,0.02,5.65,41.29,0.08,0.08,0.27,0.53,0.07,0.22,0.05,0.02,0.05,0.01,0.03,0.01,0.02,0.02,0.0,SSZ
THA-18,44.71,0.19,0.01,5.59,40.21,0.01,0.08,0.35,0.65,0.07,0.22,0.05,0.02,0.05,0.01,0.04,0.01,0.02,0.03,0.01,SSZ
THA-19,44.31,0.42,0.08,8.21,38.99,0.12,0.09,0.49,0.9,0.09,0.34,0.06,0.02,0.06,0.01,0.05,0.01,0.03,0.04,0.01,SSZ
MHA-10,45.04,0.61,0.01,7.72,39.11,0.13,0.11,0.35,0.52,0.07,0.22,0.05,0.02,0.05,0.01,0.03,0.01,0.02,0.03,0.0,SSZ
MHA-12,44.34,0.52,0.01,7.34,39.14,0.01,0.09,0.4,0.72,0.08,0.26,0.05,0.02,0.05,0.01,0.05,0.01,0.03,0.04,0.01,SSZ
MHA-13,42.09,1.51,0.01,9.67,37.89,0.62,0.16,0.41,0.75,0.08,0.28,0.06,0.02,0.06,0.01,0.06,0.01,0.04,0.04,0.01,SSZ
MHA-14,43.89,1.41,0.09,7.74,37.72,0.17,0.1,0.26,0.52,0.06,0.21,0.05,0.01,0.04,0.01,0.03,0.01,0.02,0.02,0.0,SSZ
KO18,44.43,1.77,0.03,8.34,42.03,1.81,0.19,0.08,0.1,0.01,0.04,0.02,0.01,0.05,0.01,0.1,0.02,0.09,0.1,0.02,MOR
KO19,44.58,1.73,0.04,8.31,41.92,1.84,0.17,0.09,0.12,0.01,0.04,0.02,0.01,0.06,0.01,0.12,0.03,0.11,0.1,0.02,MOR
KO20,44.44,1.83,0.03,8.37,41.73,1.91,0.18,0.09,0.11,0.01,0.04,0.02,0.01,0.06,0.01,0.11,0.03,0.1,0.11,0.02,MOR
KO1,44.63,1.94,0.04,8.33,41.71,1.98,0.14,0.09,0.12,0.01,0.04,0.02,0.01,0.06,0.02,0.12,0.03,0.11,0.13,0.02,MOR
KO3,44.72,2.0,0.04,8.31,41.59,2.02,0.12,0.1,0.13,0.01,0.04,0.02,0.01,0.07,0.02,0.13,0.03,0.12,0.14,0.02,MOR
ANT7,44.8,2.2,0.04,8.17,41.08,2.24,0.02,0.14,0.22,0.03,0.08,0.03,0.01,0.08,0.02,0.16,0.04,0.14,0.17,0.03,MOR
ANT8,44.8,2.18,0.04,8.11,41.08,2.25,0.02,0.13,0.22,0.03,0.08,0.03,0.01,0.08,0.02,0.16,0.04,0.14,0.17,0.03,MOR
KO7,44.91,0.73,0.02,8.17,44.11,0.73,0.01,0.14,0.23,0.02,0.05,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.02,0.0,SSZ
KO105,44.41,0.93,0.02,8.73,43.75,0.82,0.0,0.07,0.11,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.01,SSZ
KO108,43.84,1.23,0.02,8.79,42.98,1.46,0.13,0.03,0.07,0.01,0.03,0.0,0.0,0.01,0.0,0.03,0.01,0.04,0.06,0.01,SSZ
KO103,43.63,0.85,0.02,8.1,45.33,0.74,0.0,0.12,0.08,0.01,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.03,0.01,SSZ
KO115,44.14,1.45,0.03,8.7,42.7,1.55,0.09,0.2,0.29,0.03,0.07,0.01,0.0,0.01,0.0,0.05,0.01,0.05,0.08,0.02,SSZ
S33,44.19,1.2,0.02,8.33,43.67,1.2,0.04,0.16,0.24,0.02,0.06,0.01,0.0,0.01,0.0,0.03,0.01,0.04,0.06,0.01,SSZ
S36,44.45,0.76,0.02,8.19,44.46,0.79,0.0,0.04,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,SSZ
S37,43.36,0.92,0.02,8.7,44.12,0.99,0.52,0.09,0.13,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.01,SSZ
45352,43.75,0.57,0.02,8.45,45.26,0.63,0.0,0.06,0.08,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,SSZ
11018,43.07,0.62,0.02,8.83,44.82,0.65,0.65,0.44,0.45,0.04,0.1,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.03,0.01,SSZ
ANT6,44.68,0.73,0.02,8.7,43.7,0.82,0.0,0.07,0.12,0.01,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.01,SSZ
ANT9,44.25,1.01,0.02,8.5,43.8,1.07,0.0,0.05,0.06,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.05,0.01,SSZ
